,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Exp_Date,Current Date,Time to Maturity
36,SPXW191213P02510000,2019-12-10 10:11AM EST,2510.0,0.1,0.0,0.05,-0.05,-33.33%,4,122,64.45%,2019-12-13,2019-12-10,3
37,SPXW191213P02520000,2019-12-10 12:16PM EST,2520.0,0.05,0.0,0.05,-0.05,-50.00%,1,6042,63.28%,2019-12-13,2019-12-10,3
38,SPXW191213P02525000,2019-12-10 3:33PM EST,2525.0,0.07,0.0,0.05,-0.03,-30.00%,2,10923,62.89%,2019-12-13,2019-12-10,3
39,SPXW191213P02530000,2019-12-02 10:15AM EST,2530.0,0.11,0.0,0.05,0.0,-,3,344,62.11%,2019-12-13,2019-12-10,3
40,SPXW191213P02540000,2019-12-10 3:44PM EST,2540.0,0.05,0.0,0.05,-0.05,-50.00%,1714,5881,60.94%,2019-12-13,2019-12-10,3
41,SPXW191213P02550000,2019-12-09 3:52PM EST,2550.0,0.1,0.0,0.1,-0.05,-33.33%,10,8758,63.48%,2019-12-13,2019-12-10,3
42,SPXW191213P02560000,2019-12-10 11:52AM EST,2560.0,0.05,0.0,0.1,-0.1,-66.67%,500,1126,62.31%,2019-12-13,2019-12-10,3
43,SPXW191213P02570000,2019-12-10 3:56PM EST,2570.0,0.05,0.0,0.1,-0.05,-50.00%,6,133,61.13%,2019-12-13,2019-12-10,3
44,SPXW191213P02575000,2019-12-10 3:56PM EST,2575.0,0.05,0.0,0.05,-0.05,-50.00%,255,1270,57.42%,2019-12-13,2019-12-10,3
45,SPXW191213P02580000,2019-12-10 11:52AM EST,2580.0,0.05,0.0,0.1,-0.1,-66.67%,505,3597,59.96%,2019-12-13,2019-12-10,3
46,SPXW191213P02590000,2019-12-09 3:52PM EST,2590.0,0.2,0.0,0.1,0.0,-,269,855,58.98%,2019-12-13,2019-12-10,3
47,SPXW191213P02600000,2019-12-10 4:03PM EST,2600.0,0.05,0.0,0.05,-0.18,-78.26%,417,1398,54.69%,2019-12-13,2019-12-10,3
48,SPXW191213P02605000,2019-12-03 3:47PM EST,2605.0,0.25,0.0,0.1,0.0,-,10,126,57.23%,2019-12-13,2019-12-10,3
49,SPXW191213P02610000,2019-12-10 2:11PM EST,2610.0,0.1,0.0,0.1,-0.18,-64.29%,14,292,56.64%,2019-12-13,2019-12-10,3
50,SPXW191213P02615000,2019-12-10 2:43PM EST,2615.0,0.1,0.0,0.1,0.05,+100.00%,52,553,56.25%,2019-12-13,2019-12-10,3
51,SPXW191213P02620000,2019-12-05 9:38AM EST,2620.0,0.07,0.0,0.1,0.0,-,12,307,55.66%,2019-12-13,2019-12-10,3
52,SPXW191213P02625000,2019-12-10 4:14PM EST,2625.0,0.05,0.0,0.1,-0.17,-77.27%,6,407,55.08%,2019-12-13,2019-12-10,3
53,SPXW191213P02630000,2019-12-10 3:34PM EST,2630.0,0.1,0.0,0.1,-0.05,-33.33%,229,281,54.49%,2019-12-13,2019-12-10,3
54,SPXW191213P02635000,2019-12-09 1:06PM EST,2635.0,0.1,0.0,0.1,0.0,-,30,304,53.91%,2019-12-13,2019-12-10,3
55,SPXW191213P02640000,2019-12-10 3:43PM EST,2640.0,0.1,0.0,0.1,0.03,+42.86%,500,99,53.52%,2019-12-13,2019-12-10,3
56,SPXW191213P02645000,2019-12-06 4:05PM EST,2645.0,0.15,0.0,0.1,0.0,-,184,401,52.93%,2019-12-13,2019-12-10,3
57,SPXW191213P02650000,2019-12-10 3:47PM EST,2650.0,0.1,0.0,0.1,-0.15,-60.00%,526,6890,52.34%,2019-12-13,2019-12-10,3
58,SPXW191213P02655000,2019-12-06 10:02AM EST,2655.0,0.1,0.0,0.15,0.0,-,778,3654,53.61%,2019-12-13,2019-12-10,3
59,SPXW191213P02660000,2019-12-10 4:14PM EST,2660.0,0.07,0.0,0.1,-0.28,-80.00%,1,1320,51.17%,2019-12-13,2019-12-10,3
60,SPXW191213P02665000,2019-12-09 3:47PM EST,2665.0,0.3,0.05,0.1,0.0,-,2,2025,52.54%,2019-12-13,2019-12-10,3
61,SPXW191213P02670000,2019-12-09 3:43PM EST,2670.0,0.3,0.0,0.1,0.0,-,2,1180,50.20%,2019-12-13,2019-12-10,3
62,SPXW191213P02675000,2019-12-10 4:03PM EST,2675.0,0.1,0.05,0.15,-0.25,-71.43%,550,16951,52.73%,2019-12-13,2019-12-10,3
63,SPXW191213P02680000,2019-12-10 9:43AM EST,2680.0,0.25,0.05,0.15,0.15,+150.00%,51,492,52.25%,2019-12-13,2019-12-10,3
64,SPXW191213P02685000,2019-12-09 1:59PM EST,2685.0,0.2,0.05,0.1,0.0,-,32,1150,50.29%,2019-12-13,2019-12-10,3
65,SPXW191213P02690000,2019-12-10 10:25AM EST,2690.0,0.2,0.05,0.15,-0.05,-20.00%,21,1058,51.07%,2019-12-13,2019-12-10,3
66,SPXW191213P02695000,2019-12-10 10:16AM EST,2695.0,0.25,0.05,0.15,0.15,+150.00%,100,2321,50.49%,2019-12-13,2019-12-10,3
67,SPXW191213P02700000,2019-12-10 4:03PM EST,2700.0,0.1,0.05,0.15,-0.2,-66.67%,373,4063,51.95%,2019-12-13,2019-12-10,3
68,SPXW191213P02705000,2019-12-10 4:03PM EST,2705.0,0.1,0.05,0.15,-0.2,-66.67%,10,3588,51.37%,2019-12-13,2019-12-10,3
69,SPXW191213P02710000,2019-12-09 3:18PM EST,2710.0,0.25,0.05,0.15,-0.05,-16.67%,4,547,50.78%,2019-12-13,2019-12-10,3
70,SPXW191213P02715000,2019-12-09 10:32AM EST,2715.0,0.1,0.05,0.15,0.0,-,77,4316,50.20%,2019-12-13,2019-12-10,3
71,SPXW191213P02720000,2019-12-09 10:14AM EST,2720.0,0.1,0.05,0.15,0.0,-,321,1616,49.61%,2019-12-13,2019-12-10,3
72,SPXW191213P02725000,2019-12-10 11:02AM EST,2725.0,0.25,0.05,0.15,-0.1,-28.57%,5,5179,49.02%,2019-12-13,2019-12-10,3
73,SPXW191213P02730000,2019-12-10 11:07AM EST,2730.0,0.23,0.05,0.15,-0.07,-23.33%,3,1601,48.44%,2019-12-13,2019-12-10,3
74,SPXW191213P02735000,2019-12-09 2:28PM EST,2735.0,0.3,0.05,0.15,0.0,-,4,2155,47.85%,2019-12-13,2019-12-10,3
75,SPXW191213P02740000,2019-12-10 11:50AM EST,2740.0,0.25,0.05,0.2,0.15,+150.00%,3,1303,48.68%,2019-12-13,2019-12-10,3
76,SPXW191213P02745000,2019-12-04 10:17AM EST,2745.0,0.35,0.05,0.2,0.0,-,2,3245,48.10%,2019-12-13,2019-12-10,3
77,SPXW191213P02750000,2019-12-10 3:44PM EST,2750.0,0.17,0.1,0.15,-0.28,-62.22%,57,46609,46.09%,2019-12-13,2019-12-10,3
78,SPXW191213P02755000,2019-12-10 4:10PM EST,2755.0,0.15,0.1,0.2,-0.1,-40.00%,500,644,46.88%,2019-12-13,2019-12-10,3
79,SPXW191213P02760000,2019-12-10 3:29PM EST,2760.0,0.15,0.1,0.2,-0.25,-62.50%,1,6846,46.29%,2019-12-13,2019-12-10,3
80,SPXW191213P02765000,2019-12-09 3:20PM EST,2765.0,0.4,0.1,0.2,0.0,-,52,584,45.70%,2019-12-13,2019-12-10,3
81,SPXW191213P02770000,2019-12-06 3:52PM EST,2770.0,0.3,0.1,0.2,0.0,-,1,288,45.12%,2019-12-13,2019-12-10,3
82,SPXW191213P02775000,2019-12-10 4:14PM EST,2775.0,0.15,0.1,0.2,-0.35,-70.00%,702,4277,44.48%,2019-12-13,2019-12-10,3
83,SPXW191213P02780000,2019-12-06 3:33PM EST,2780.0,0.3,0.1,0.2,0.0,-,11,2758,43.90%,2019-12-13,2019-12-10,3
84,SPXW191213P02785000,2019-12-10 9:54AM EST,2785.0,0.35,0.1,0.2,-0.14,-28.57%,10,1391,43.31%,2019-12-13,2019-12-10,3
85,SPXW191213P02790000,2019-12-09 12:33PM EST,2790.0,0.25,0.1,0.25,0.0,-,10,7543,43.80%,2019-12-13,2019-12-10,3
86,SPXW191213P02795000,2019-12-09 3:59PM EST,2795.0,0.5,0.1,0.25,0.0,-,95,584,43.16%,2019-12-13,2019-12-10,3
87,SPXW191213P02800000,2019-12-10 4:06PM EST,2800.0,0.2,0.1,0.2,-0.35,-63.64%,332,7624,41.53%,2019-12-13,2019-12-10,3
88,SPXW191213P02805000,2019-12-09 4:03PM EST,2805.0,0.55,0.15,0.25,0.0,-,13,100,41.97%,2019-12-13,2019-12-10,3
89,SPXW191213P02810000,2019-12-10 3:29PM EST,2810.0,0.3,0.15,0.25,-0.25,-45.45%,1,5495,41.36%,2019-12-13,2019-12-10,3
90,SPXW191213P02815000,2019-12-06 4:08PM EST,2815.0,0.4,0.15,0.25,0.0,-,16,4674,40.77%,2019-12-13,2019-12-10,3
91,SPXW191213P02820000,2019-12-10 3:37PM EST,2820.0,0.3,0.15,0.25,-0.2,-40.00%,541,4029,40.14%,2019-12-13,2019-12-10,3
92,SPXW191213P02825000,2019-12-10 3:33PM EST,2825.0,0.3,0.15,0.25,-0.25,-45.45%,762,3599,39.55%,2019-12-13,2019-12-10,3
93,SPXW191213P02830000,2019-12-09 9:32AM EST,2830.0,0.23,0.15,0.25,0.0,-,5,3925,38.94%,2019-12-13,2019-12-10,3
94,SPXW191213P02835000,2019-12-10 3:31PM EST,2835.0,0.3,0.15,0.3,-0.25,-45.45%,7,191,39.16%,2019-12-13,2019-12-10,3
95,SPXW191213P02840000,2019-12-10 11:07AM EST,2840.0,0.46,0.15,0.25,-0.04,-8.00%,3,609,37.74%,2019-12-13,2019-12-10,3
96,SPXW191213P02845000,2019-12-10 4:02PM EST,2845.0,0.25,0.15,0.3,0.0,-,2,698,37.94%,2019-12-13,2019-12-10,3
97,SPXW191213P02850000,2019-12-10 4:08PM EST,2850.0,0.25,0.2,0.3,-0.35,-58.33%,294,3582,37.33%,2019-12-13,2019-12-10,3
98,SPXW191213P02855000,2019-12-10 4:08PM EST,2855.0,0.25,0.2,0.3,-0.25,-50.00%,21,3352,36.72%,2019-12-13,2019-12-10,3
99,SPXW191213P02860000,2019-12-10 2:50PM EST,2860.0,0.3,0.2,0.3,-0.2,-40.00%,51,1459,36.11%,2019-12-13,2019-12-10,3
100,SPXW191213P02865000,2019-12-10 9:46AM EST,2865.0,0.49,0.2,0.3,-0.01,-2.00%,5,617,35.50%,2019-12-13,2019-12-10,3
101,SPXW191213P02870000,2019-12-10 3:49PM EST,2870.0,0.32,0.2,0.3,-0.18,-36.00%,1,467,34.86%,2019-12-13,2019-12-10,3
102,SPXW191213P02875000,2019-12-10 4:05PM EST,2875.0,0.25,0.2,0.3,-0.45,-64.29%,356,2348,34.25%,2019-12-13,2019-12-10,3
103,SPXW191213P02880000,2019-12-10 3:53PM EST,2880.0,0.35,0.2,0.35,-0.3,-46.15%,235,3469,34.30%,2019-12-13,2019-12-10,3
104,SPXW191213P02885000,2019-12-10 3:54PM EST,2885.0,0.35,0.25,0.35,-0.05,-12.50%,2,1317,33.67%,2019-12-13,2019-12-10,3
105,SPXW191213P02890000,2019-12-10 3:09PM EST,2890.0,0.41,0.25,0.35,-0.25,-37.88%,20,1183,33.06%,2019-12-13,2019-12-10,3
106,SPXW191213P02895000,2019-12-10 3:19PM EST,2895.0,0.4,0.25,0.35,0.0,-,53,1402,32.42%,2019-12-13,2019-12-10,3
107,SPXW191213P02900000,2019-12-10 3:45PM EST,2900.0,0.39,0.25,0.35,-0.36,-48.00%,338,8357,31.81%,2019-12-13,2019-12-10,3
108,SPXW191213P02905000,2019-12-10 2:15PM EST,2905.0,0.45,0.25,0.35,-0.3,-40.00%,233,1329,31.18%,2019-12-13,2019-12-10,3
109,SPXW191213P02910000,2019-12-10 2:44PM EST,2910.0,0.45,0.25,0.35,-0.33,-42.31%,63,2529,30.57%,2019-12-13,2019-12-10,3
110,SPXW191213P02915000,2019-12-10 3:18PM EST,2915.0,0.45,0.3,0.4,0.0,-,64,1430,30.47%,2019-12-13,2019-12-10,3
111,SPXW191213P02920000,2019-12-10 1:57PM EST,2920.0,0.5,0.3,0.4,0.05,+11.11%,23,1444,29.83%,2019-12-13,2019-12-10,3
112,SPXW191213P02925000,2019-12-10 3:02PM EST,2925.0,0.46,0.3,0.4,-0.34,-42.50%,1219,5021,29.20%,2019-12-13,2019-12-10,3
113,SPXW191213P02930000,2019-12-10 3:13PM EST,2930.0,0.48,0.3,0.4,0.03,+6.67%,157,1632,28.57%,2019-12-13,2019-12-10,3
114,SPXW191213P02935000,2019-12-10 3:58PM EST,2935.0,0.5,0.35,0.45,0.06,+13.64%,23,601,28.38%,2019-12-13,2019-12-10,3
115,SPXW191213P02940000,2019-12-10 3:54PM EST,2940.0,0.5,0.35,0.45,-0.17,-25.37%,1430,801,27.74%,2019-12-13,2019-12-10,3
116,SPXW191213P02945000,2019-12-10 3:34PM EST,2945.0,0.55,0.35,0.45,-0.05,-8.33%,4,2296,27.10%,2019-12-13,2019-12-10,3
117,SPXW191213P02950000,2019-12-10 4:12PM EST,2950.0,0.45,0.4,0.45,-0.35,-43.75%,1776,7527,26.44%,2019-12-13,2019-12-10,3
118,SPXW191213P02955000,2019-12-10 3:31PM EST,2955.0,0.55,0.4,0.5,-0.2,-26.67%,40,2220,26.20%,2019-12-13,2019-12-10,3
119,SPXW191213P02960000,2019-12-10 3:28PM EST,2960.0,0.55,0.4,0.5,-0.4,-42.11%,559,1249,25.54%,2019-12-13,2019-12-10,3
120,SPXW191213P02965000,2019-12-10 3:34PM EST,2965.0,0.62,0.4,0.55,-0.38,-38.00%,52,442,25.24%,2019-12-13,2019-12-10,3
121,SPXW191213P02970000,2019-12-10 3:53PM EST,2970.0,0.61,0.45,0.55,-0.19,-23.75%,104,1017,24.57%,2019-12-13,2019-12-10,3
122,SPXW191213P02975000,2019-12-10 4:14PM EST,2975.0,0.5,0.45,0.55,-0.45,-47.37%,1066,5014,23.91%,2019-12-13,2019-12-10,3
123,SPXW191213P02980000,2019-12-10 3:53PM EST,2980.0,0.66,0.45,0.6,-0.44,-40.00%,106,3036,23.56%,2019-12-13,2019-12-10,3
124,SPXW191213P02985000,2019-12-10 3:54PM EST,2985.0,0.7,0.5,0.6,-0.32,-31.37%,10,1769,22.89%,2019-12-13,2019-12-10,3
125,SPXW191213P02990000,2019-12-10 3:53PM EST,2990.0,0.68,0.55,0.65,-0.38,-35.85%,35,1449,22.50%,2019-12-13,2019-12-10,3
126,SPXW191213P02995000,2019-12-10 3:49PM EST,2995.0,0.75,0.55,0.7,-0.33,-30.56%,593,1687,22.08%,2019-12-13,2019-12-10,3
127,SPXW191213P03000000,2019-12-10 4:02PM EST,3000.0,0.75,0.6,0.7,-0.7,-48.28%,1467,14264,21.39%,2019-12-13,2019-12-10,3
128,SPXW191213P03005000,2019-12-10 4:06PM EST,3005.0,0.72,0.6,0.75,-0.33,-31.43%,256,606,20.94%,2019-12-13,2019-12-10,3
129,SPXW191213P03010000,2019-12-10 3:38PM EST,3010.0,0.9,0.65,0.8,-0.65,-41.94%,66,623,20.46%,2019-12-13,2019-12-10,3
130,SPXW191213P03015000,2019-12-10 3:37PM EST,3015.0,1.0,0.7,0.85,-0.65,-39.39%,16,1863,19.96%,2019-12-13,2019-12-10,3
131,SPXW191213P03020000,2019-12-10 3:49PM EST,3020.0,0.95,0.75,0.9,-0.82,-46.33%,176,4296,19.45%,2019-12-13,2019-12-10,3
132,SPXW191213P03025000,2019-12-10 4:05PM EST,3025.0,0.9,0.85,0.95,-0.92,-50.55%,1044,4428,18.91%,2019-12-13,2019-12-10,3
133,SPXW191213P03030000,2019-12-10 4:06PM EST,3030.0,0.97,0.9,1.05,-1.05,-51.98%,264,1987,18.52%,2019-12-13,2019-12-10,3
134,SPXW191213P03035000,2019-12-10 3:56PM EST,3035.0,1.25,1.0,1.15,-0.92,-42.40%,178,2707,18.10%,2019-12-13,2019-12-10,3
135,SPXW191213P03040000,2019-12-10 4:14PM EST,3040.0,1.23,1.1,1.25,-1.24,-50.20%,2641,1974,17.63%,2019-12-13,2019-12-10,3
136,SPXW191213P03045000,2019-12-10 4:14PM EST,3045.0,1.34,1.25,1.35,-1.33,-49.81%,226,1275,17.13%,2019-12-13,2019-12-10,3
137,SPXW191213P03050000,2019-12-10 4:14PM EST,3050.0,1.48,1.4,1.55,-1.44,-49.32%,2217,7755,16.85%,2019-12-13,2019-12-10,3
138,SPXW191213P03055000,2019-12-10 4:14PM EST,3055.0,1.64,1.55,1.7,-1.46,-47.10%,430,863,16.39%,2019-12-13,2019-12-10,3
139,SPXW191213P03060000,2019-12-10 4:14PM EST,3060.0,1.87,1.75,1.95,-1.61,-46.26%,826,2164,16.09%,2019-12-13,2019-12-10,3
140,SPXW191213P03065000,2019-12-10 4:05PM EST,3065.0,2.16,2.0,2.2,-1.64,-43.16%,358,1466,15.71%,2019-12-13,2019-12-10,3
141,SPXW191213P03070000,2019-12-10 4:05PM EST,3070.0,2.57,2.3,2.5,-1.53,-37.32%,749,4668,15.36%,2019-12-13,2019-12-10,3
142,SPXW191213P03075000,2019-12-10 4:09PM EST,3075.0,2.87,2.65,2.8,-1.82,-38.81%,786,3969,14.93%,2019-12-13,2019-12-10,3
143,SPXW191213P03080000,2019-12-10 4:13PM EST,3080.0,3.3,3.0,3.2,-1.95,-37.14%,938,4712,14.58%,2019-12-13,2019-12-10,3
144,SPXW191213P03085000,2019-12-10 4:13PM EST,3085.0,3.7,3.4,3.7,-2.1,-36.21%,1141,2349,14.27%,2019-12-13,2019-12-10,3
145,SPXW191213P03090000,2019-12-10 4:06PM EST,3090.0,4.3,4.0,4.2,-1.6,-27.12%,2060,2983,13.86%,2019-12-13,2019-12-10,3
146,SPXW191213P03095000,2019-12-10 4:11PM EST,3095.0,4.88,4.6,4.8,-2.67,-35.36%,527,3488,13.48%,2019-12-13,2019-12-10,3
147,SPXW191213P03100000,2019-12-10 4:14PM EST,3100.0,5.4,5.2,5.5,-2.62,-32.67%,2999,14503,13.10%,2019-12-13,2019-12-10,3
148,SPXW191213P03105000,2019-12-10 4:10PM EST,3105.0,6.54,6.0,6.3,-2.66,-28.91%,489,1591,12.70%,2019-12-13,2019-12-10,3
149,SPXW191213P03110000,2019-12-10 4:10PM EST,3110.0,7.56,6.9,7.2,-2.44,-24.40%,464,3707,12.28%,2019-12-13,2019-12-10,3
150,SPXW191213P03115000,2019-12-10 4:09PM EST,3115.0,8.6,8.0,8.3,-2.62,-23.35%,748,1471,11.89%,2019-12-13,2019-12-10,3
151,SPXW191213P03120000,2019-12-10 4:13PM EST,3120.0,9.78,9.2,9.6,-2.72,-21.76%,863,2270,11.52%,2019-12-13,2019-12-10,3
152,SPXW191213P03125000,2019-12-10 4:13PM EST,3125.0,11.31,10.7,11.0,-2.66,-19.04%,979,4165,11.06%,2019-12-13,2019-12-10,3
153,SPXW191213P03130000,2019-12-10 4:14PM EST,3130.0,12.56,12.3,12.7,-3.07,-19.64%,1160,3141,10.65%,2019-12-13,2019-12-10,3
154,SPXW191213P03135000,2019-12-10 4:12PM EST,3135.0,14.94,14.2,14.7,-3.11,-17.23%,1292,1223,10.26%,2019-12-13,2019-12-10,3
155,SPXW191213P03140000,2019-12-10 4:00PM EST,3140.0,17.98,16.4,16.9,-1.82,-9.19%,372,936,9.78%,2019-12-13,2019-12-10,3
156,SPXW191213P03145000,2019-12-10 3:21PM EST,3145.0,19.66,18.9,19.4,-2.14,-9.82%,70,999,9.27%,2019-12-13,2019-12-10,3
157,SPXW191213P03150000,2019-12-10 3:59PM EST,3150.0,24.5,21.8,22.2,-0.5,-2.00%,275,4624,8.68%,2019-12-13,2019-12-10,3
158,SPXW191213P03155000,2019-12-10 4:03PM EST,3155.0,27.0,24.9,25.4,-0.75,-2.70%,107,206,8.05%,2019-12-13,2019-12-10,3
159,SPXW191213P03160000,2019-12-10 4:14PM EST,3160.0,29.2,27.9,29.5,-2.03,-6.50%,37,781,8.00%,2019-12-13,2019-12-10,3
160,SPXW191213P03165000,2019-12-10 3:03PM EST,3165.0,31.83,31.7,33.4,0.63,+2.02%,34,247,7.18%,2019-12-13,2019-12-10,3
161,SPXW191213P03170000,2019-12-10 3:33PM EST,3170.0,42.0,35.4,38.5,4.6,+12.30%,24,237,8.20%,2019-12-13,2019-12-10,3
162,SPXW191213P03175000,2019-12-10 3:03PM EST,3175.0,40.16,39.5,42.9,1.43,+3.69%,27,185,7.46%,2019-12-13,2019-12-10,3
163,SPXW191213P03180000,2019-12-10 12:43PM EST,3180.0,47.1,44.1,47.4,4.91,+11.64%,10,41,0.00%,2019-12-13,2019-12-10,3
164,SPXW191213P03185000,2019-12-06 2:03PM EST,3185.0,39.46,48.7,52.2,0.0,-,6,33,0.00%,2019-12-13,2019-12-10,3
165,SPXW191213P03190000,2019-12-10 12:58PM EST,3190.0,54.28,53.6,57.0,10.62,+24.32%,5,8,0.00%,2019-12-13,2019-12-10,3
166,SPXW191213P03195000,2019-12-09 2:59PM EST,3195.0,55.45,58.3,61.8,0.0,-,18,57,0.00%,2019-12-13,2019-12-10,3
167,SPXW191213P03200000,2019-12-09 3:23PM EST,3200.0,59.91,63.2,66.7,0.0,-,1,80,0.00%,2019-12-13,2019-12-10,3
168,SPXW191213P03205000,2019-12-06 10:49AM EST,3205.0,58.97,68.1,71.6,0.0,-,2,4,0.00%,2019-12-13,2019-12-10,3
169,SPXW191213P03210000,2019-12-10 4:00PM EST,3210.0,77.2,73.1,76.6,-19.7,-20.33%,97,103,0.00%,2019-12-13,2019-12-10,3
170,SPXW191213P03215000,2019-11-29 12:28PM EST,3215.0,73.23,78.2,81.6,0.0,-,4,4,0.00%,2019-12-13,2019-12-10,3
171,SPXW191213P03220000,2019-12-10 4:00PM EST,3220.0,87.25,83.1,86.6,-19.7,-18.42%,97,102,0.00%,2019-12-13,2019-12-10,3
172,SPXW191213P03225000,2019-12-10 4:14PM EST,3225.0,90.25,88.1,91.6,-21.07,-18.93%,128,132,0.00%,2019-12-13,2019-12-10,3
